ticker,company,cik,announced_date,announcement_url,deal_price,acquirer,consideration_notes,price_at_announcement,spread_at_announcement_pct,outcome,outcome_date,outcome_url,days_to_resolution,verified_by_hand,notes
ESSA,"ESSA Bancorp, Inc.",1382230,2025-01-10,https://www.sec.gov/Archives/edgar/data/1382230/000119312525004095/,,CNB Financial Corporation,"all stock, 0.8547 CCNE shares per ESSA share. Implied ~$21.10 at announcement based on 10-day VWAP. Tax-free exchange. No fixed cash price.",18.63,,CLOSED,7/24/2025,https://www.sec.gov/Archives/edgar/data/1382230/000135445725000736/,195,y,Form 25-NSE
NVRO,NEVRO CORP,1444380,2025-02-06,https://www.sec.gov/Archives/edgar/data/1444380/000119312525021775/,5.85,Globus Medical,"all cash $5.85. 17% premium to the Feb 5 close, 27% to the 90-day VWAP.",5.02,16.53,CLOSED,4/3/2025,https://www.sec.gov/Archives/edgar/data/1444380/000087666125000257/,56,y,Form 25-NSE
INRE,"Inland Real Estate Income Trust, Inc.",1528985,2024-11-12,https://www.sec.gov/Archives/edgar/data/1528985/000095017024125212/,,,not a merger - real estate management agreement amendment and annual meeting results,12.25,,PENDING,,,,y,no terminal filing after 630 days
AMPS,"Altus Power, Inc.",1828723,2025-02-06,https://www.sec.gov/Archives/edgar/data/1828723/000119312525021325/,5,TPG (Rise Climate Transition Infrastructure),"all cash $5.00. PE take-private. Premium quoted as 66% to the Oct 15 2024 unaffected close, before the strategic review announcement.",3.83,30.55,CLOSED,4/16/2025,https://www.sec.gov/Archives/edgar/data/1828723/000087666125000265/,69,y,Form 25-NSE
THPTF,"Techpoint, Inc.",1556898,2025-01-15,https://www.sec.gov/Archives/edgar/data/1556898/000119312525006663/,,ASMedia Technology,"Techpoint is Delaware-incorporated but listed on the Tokyo Stock Exchange as Japanese Depositary Shares, not on a US exchange. Outside the universe.",,,BROKEN,5/5/2025,https://www.sec.gov/Archives/edgar/data/1556898/000119312525112865/,110,y,termination language
FNA,"Paragon 28, Inc.",1531978,2025-01-29,https://www.sec.gov/Archives/edgar/data/1531978/000095015725000082/,13,Zimmer Biomet,$13.00 cash plus one contingent value right per share. CVR makes total consideration variable - excluded for consistency with STCN and TBPH handling.,12,8.33,CLOSED,4/21/2025,https://www.sec.gov/Archives/edgar/data/1531978/000087666125000276/,82,y,Form 25-NSE
TGI,TRIUMPH GROUP INC,1021162,2025-02-02,https://www.sec.gov/Archives/edgar/data/1021162/000114036125008562/,26,Titan BW Acquisition Holdco (Warburg Pincus / Berkshire Partners),"all cash $26.00. PE club deal, Warburg Pincus and Berkshire Partners. Row previously pointed at the March 2025 tax benefits preservation plan amendment.",18.74,38.74,CLOSED,7/25/2025,https://www.sec.gov/Archives/edgar/data/1021162/000087666125000532/,134,y,Form 25-NSE
ENFN,"Enfusion, Inc.",1868912,2025-01-10,https://www.sec.gov/Archives/edgar/data/1868912/000110465925002843/,,Clearwater Analytics Holdings,"election structure: holders choose Per Share Mixed, Stock, or Cash consideration. No single price. Same exclusion as Emclaire. 2025-01-10",,,CLOSED,4/21/2025,https://www.sec.gov/Archives/edgar/data/1868912/000087666125000277/,98,y,Form 25-NSE
PLYA,Playa Hotels & Resorts N.V.,1692412,2025-02-09,https://www.sec.gov/Archives/edgar/data/1692412/000119312525023653/,13.5,Hyatt Hotels Corporation,"all cash $13.50 tender offer. Dutch target (N.V.), NASDAQ-listed. Requires an extraordinary general meeting under Dutch law, which sets the offer timeline.2025-02-09",12.94,4.33,CLOSED,6/16/2025,https://www.sec.gov/Archives/edgar/data/1692412/000110465925059872/,126,y,Form 25
VCSA,"Vacasa, Inc.",1874944,2024-12-30,https://www.sec.gov/Archives/edgar/data/1874944/000114036125010956/,5.02,Casago Holdings,"row is Amendment No. 2 (removes HSR condition). Original Merger Agreement dated 2024-12-30, amended 2025-03-17 and 2025-03-28. Price not pulled.needs correcting to 2024-12-30",3.81,31.76,CLOSED,5/1/2025,https://www.sec.gov/Archives/edgar/data/1874944/000135445725000367/,34,y,Form 25-NSE
